Continent,Item,PCT_5%,PCT_10%,PCT_15%,PCT_20%,PCT_25%,PCT_30%,PCT_35%,PCT_40%,PCT_45%,PCT_50%,PCT_55%,PCT_60%,PCT_65%,PCT_70%,PCT_75%,PCT_80%,PCT_85%,PCT_90%,PCT_95%,PCT_100%
North America,Carbongap_Max,8.67,8.67,23.59,23.59,23.59,39.28,39.28,55.17,55.17,55.17,71.14,87.2,87.2,103.2,135.2,151.24,183.28,247.37,343.33,2581
North America,Area_this_PCT,7.87E+11,,2.03E+12,,,2.32E+12,,2.06E+12,,,1.66E+12,1.31E+12,,1.04E+12,1.51E+12,5.52E+11,8.43E+11,1.10E+12,1.05E+12,1.13E+12
North America,Popu_Mean,2.23,,1.99,,,2.26,,2.74,,,3.41,4.14,,4.79,5.63,6.73,7.77,10.47,14.69,25.93
North America,Carbongap_Mean,4.76,,16.23,,,31.41,,47.23,,,63.11,79.18,,95.2,118.33,143.22,166.51,212.52,291.81,518.42
North America,NPP_Mean,353.41,,316.56,,,316.69,,342.55,,,374.49,395.91,,398.8,398.48,402.25,405.52,420.25,465.94,484.91
Europe,Carbongap_Max,11.59,19.55,27.52,35.5,43.49,51.48,59.47,67.46,75.46,83.46,91.46,107.46,115.46,131.43,147.44,163.43,195.43,243.46,339.46,1857
Europe,Area_this_PCT,4.14E+11,3.63E+11,3.95E+11,4.12E+11,4.17E+11,4.14E+11,4.04E+11,3.90E+11,3.74E+11,3.57E+11,3.39E+11,6.23E+11,2.84E+11,5.10E+11,4.26E+11,3.49E+11,5.12E+11,4.56E+11,4.71E+11,4.73E+11
Europe,Popu_Mean,15.15,14.57,14.73,15.44,16.53,17.79,19.07,20.56,22.23,23.63,24.51,26.11,27.45,27.93,29.72,30.81,32.63,35.13,38.04,40.75
Europe,Carbongap_Mean,6.27,15.57,23.53,31.51,39.49,47.48,55.47,63.47,71.47,79.46,87.46,99.34,111.46,123.29,139.22,155.21,178.31,216.87,285.73,472.86
Europe,NPP_Mean,573,556.07,553.98,555.03,555.78,556.98,557.61,558.24,558.49,557.14,554.8,546.04,533.36,519.52,513.37,507.97,500.1,498.74,534.29,455.09
Africa,Carbongap_Max,8.8,23.43,23.43,23.43,39.28,39.28,39.28,55.25,55.25,71.21,87.24,87.24,103.23,119.23,151.23,183.29,231.36,311.37,455.4,2760
Africa,Area_this_PCT,8.09E+11,2.20E+12,,,2.31E+12,,,1.96E+12,,1.62E+12,1.31E+12,,1.07E+12,8.78E+11,1.29E+12,8.59E+11,8.66E+11,9.54E+11,8.79E+11,8.77E+11
Africa,Popu_Mean,22.76,21.63,,,19.08,,,18.69,,19.58,21.09,,23.18,25.57,30.04,36.39,43.71,49.32,54.86,68.21
Africa,Carbongap_Mean,4.81,16.23,,,31.32,,,47.26,,63.23,79.22,,95.24,111.23,134.37,166.49,205.87,268.29,372.99,711.24
Africa,NPP_Mean,425.52,386.03,,,462.34,,,560.42,,639.76,697.4,,723.86,734.38,742.22,745.88,718.36,644.46,707.57,789.88
Australia,Carbongap_Max,8.85,8.85,8.85,23.33,23.33,23.33,23.33,39.05,39.05,39.05,54.98,54.98,71.03,87.1,103.08,119.16,167.26,231.37,359.32,2738.91
Australia,Area_this_PCT,4.65E+11,,,1.28E+12,,,,1.25E+12,,,8.48E+11,,6.52E+11,4.21E+11,3.08E+11,2.27E+11,4.32E+11,3.15E+11,3.26E+11,3.26E+11
