/* Unit: gC/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17,,,
North America,2018,686.09,1487.35,552.30,940.84,792.76,483.32,210.11,622.74,414.98,216.43,97.22,558.91,73.03,782.43,1.32,12.88,11.34,,,
Europe,2018,729.47,1219.16,426.25,971.56,759.83,547.03,296.93,727.55,695.84,481.42,209.16,658.77,43.81,844.93,1.10,11.43,0.58,,,
Africa,2018,1327.90,1502.30,466.62,1171.68,1273.74,657.71,225.66,1310.08,1011.46,458.72,118.92,503.71,119.61,719.61,9.02,0.99,0.59,,,
Australia,2018,1894.74,2060.91,1860.55,1228.53,1360.54,316.33,150.28,1053.62,837.96,466.49,272.59,600.51,99.75,1514.52,0.47,14.45,0.36,,,
E Asia,2018,963.11,1404.28,762.47,892.04,959.60,612.37,78.59,959.77,848.70,304.46,246.44,570.27,173.60,792.19,3.42,6.18,3.43,,,
N Asia,2018,634.10,0.00,561.06,729.14,674.43,340.33,244.10,543.14,381.54,222.20,68.22,479.67,31.49,542.48,4.18,14.21,23.82,,,
S Asia,2018,855.98,1400.47,725.00,622.40,754.79,359.56,35.95,1030.54,627.91,243.41,98.14,329.86,39.42,653.17,3.19,10.61,1.69,,,
SE Asia,2018,854.20,1425.42,471.70,1108.14,1230.78,890.30,451.94,1112.91,973.12,844.63,245.02,702.22,138.04,917.04,56.72,89.87,9.38,,,
SW Asia,2018,1017.95,1231.93,785.28,1136.06,1040.59,819.28,98.02,1074.93,846.34,370.03,479.22,483.78,30.26,1075.50,12.12,3.07,0.96,,,
Central Asia,2018,590.99,1.35,520.73,665.63,727.99,637.21,52.06,652.85,539.38,210.98,128.33,336.18,15.63,531.43,3.22,12.88,0.24,,,
Central America,2018,675.11,1649.79,215.99,1362.66,1782.21,1147.74,1154.57,1411.15,1094.52,1094.26,291.00,995.07,183.61,1089.83,0.00,108.27,0.06,,,
South America,2018,908.96,1514.00,472.60,1313.06,853.03,874.74,252.25,1292.84,1116.67,777.13,183.35,884.02,20.16,1210.58,2.35,34.31,1.94,,,
North America,2017,665.82,1473.10,616.81,1002.34,820.54,533.03,242.99,655.49,456.59,234.13,106.43,610.70,76.50,861.33,1.21,14.13,11.75,,,
Europe,2017,603.08,1237.95,440.39,849.83,647.24,504.18,241.29,592.04,610.14,444.75,177.96,610.85,39.51,776.79,0.89,10.67,0.54,,,
