/* Unit: gc/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
North America,2018,64.95,201.40,45.51,130.90,76.07,170.83,48.10,126.25,119.58,88.14,186.06,104.75,39.71,118.12,4.93,35.92,5.79
Europe,2018,70.22,137.46,121.02,95.63,43.29,171.76,82.38,101.52,148.99,156.42,335.42,134.38,24.99,79.82,4.90,86.07,1.29
Africa,2018,206.29,101.28,1095.54,98.06,93.11,105.76,61.58,204.97,167.66,128.48,630.29,111.49,110.89,223.11,48.38,1.95,2.16
Australia,2018,180.87,143.42,0.00,533.14,582.54,57.65,36.69,307.91,210.01,148.21,809.44,131.99,98.06,739.11,53.65,21.49,1.99
E Asia,2018,136.97,172.57,63.84,131.55,141.78,171.54,47.68,269.97,287.08,108.23,665.45,150.18,139.27,250.10,13.59,13.54,11.00
N Asia,2018,48.79,0.00,55.82,78.85,42.82,92.35,40.18,73.79,120.62,93.89,288.49,103.74,26.99,47.96,14.71,40.33,16.03
S Asia,2018,390.36,209.13,498.14,129.00,275.48,258.27,62.21,269.07,217.62,140.41,373.95,96.82,36.71,225.11,12.50,19.50,14.79
SE Asia,2018,528.75,168.27,495.61,291.66,267.55,446.21,558.66,414.52,433.65,469.39,781.35,271.54,130.78,428.07,188.45,311.48,23.88
SW Asia,2018,118.89,142.06,177.96,153.64,183.93,369.57,110.01,168.03,208.90,169.79,243.35,116.95,30.36,143.45,56.12,5.64,6.43
Central Asia,2018,17.07,33.28,44.32,51.36,86.27,161.54,39.46,85.08,61.33,52.17,130.10,79.19,9.15,25.33,12.30,25.03,2.73
Central America,2018,962.53,197.04,555.25,190.37,382.18,459.35,668.00,450.76,432.63,532.56,850.82,388.86,229.56,473.90,0.00,418.22,0.11
South America,2018,191.12,117.55,794.30,148.50,144.93,168.82,85.87,280.80,228.55,231.45,714.23,275.68,20.83,365.48,52.72,38.40,8.60
