/* Unit: gC */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
North America,2018,7.49822E+13,4.30144E+13,2.45151E+11,1.19963E+14,7.26024E+13,4.50068E+12,1.08958E+14,4.09415E+14,3.18393E+14,4.66834E+14,8.51516E+13,2.04985E+14,6.17978E+12,1.94858E+13,1.72973E+12,2.5241E+13,3.03191E+12
Europe,2018,4.36023E+13,2.85716E+12,32232181582,3.46559E+13,6.40222E+13,3.06655E+11,1.98235E+13,1.30305E+14,1.69625E+14,2.15473E+14,3.25275E+13,3.30215E+14,3.69382E+12,2.00636E+13,4.63503E+11,7.47476E+12,2.17916E+11
Africa,2018,8.13958E+11,2.23734E+14,5820466977,3.19517E+13,2.43438E+13,1.6512E+13,1.11054E+14,2.34386E+14,7.16673E+14,9.93218E+14,5.52865E+13,1.46811E+14,6.30835E+12,6.32718E+13,4073366982,1.95479E+13,4.75416E+11
Australia,2018,6.89967E+12,2.90557E+13,0,7.77516E+11,3.36517E+12,1.93536E+13,1.52205E+14,4.46203E+13,1.08079E+14,2.71998E+14,9.20019E+12,3.39819E+13,1.01908E+12,7.60526E+11,11835073651,3.2542E+12,37822747784
E Asia,2018,1.41891E+13,4.06292E+14,7.09759E+11,7.79956E+13,7.0766E+13,6.06272E+11,5.73093E+11,4.69406E+14,3.22619E+14,3.28453E+14,6.98779E+13,2.68058E+14,3.0008E+13,1.03401E+14,5.45498E+11,3.00599E+13,1.36915E+12
N Asia,2018,1.79934E+13,0,2.28787E+13,2.35229E+13,5.70315E+13,3.47881E+12,1.25046E+14,1.63931E+14,2.96932E+14,2.58811E+14,9.57086E+13,2.7469E+13,3.46672E+11,2.32048E+12,6.48505E+11,2.37267E+13,3.70339E+12
S Asia,2018,1.38887E+13,3.13913E+13,769174820.2,1.04155E+13,3.07511E+13,44409643055,1.79957E+13,5.03129E+13,5.23823E+13,9.1707E+13,9.55501E+12,2.12147E+14,1.66374E+12,2.18969E+13,3.56521E+11,1.79517E+13,3.95804E+11
SE Asia,2018,4.33094E+12,3.48694E+14,6283002904,2.04586E+13,2.2152E+13,2.56603E+11,73149958558,3.41435E+14,1.53211E+14,9.59548E+13,6.15264E+13,1.3307E+14,4.6975E+12,6.267E+13,20368364782,5.51962E+11,9.41997E+11
SW Asia,2018,2.39702E+12,58159683266,386237310.9,7.19765E+12,3.221E+12,98524762798,4.0954E+13,1.03199E+13,1.63232E+13,1.55489E+14,1.19569E+12,4.93057E+13,1.17414E+12,1.10611E+12,26689216629,2.32205E+13,1.4849E+11
Central Asia,2018,24337840310,118204932.4,6412633186,64984256431,7.25617E+11,86085157717,5.79742E+12,7.95982E+11,7.76879E+11,1.45104E+14,1.30667E+12,1.70966E+13,1.75702E+11,21715349229,3.4647E+11,1.62379E+13,2.6181E+11
Central America,2018,47024951438,2.97036E+13,502683709.1,9.02821E+11,4.34226E+11,95450143214,2242475196,7.78977E+13,5.40041E+13,1.28797E+13,5.27837E+12,3.9931E+12,4.51766E+11,3.09129E+12,0,18692246029,1326979277
South America,2018,7.7175E+12,7.29637E+14,4895462643,4.28616E+13,9.46266E+12,7.89271E+12,7.12683E+13,2.62408E+14,7.9416E+14,8.89312E+14,1.01066E+14,2.02659E+14,1.73162E+12,4.52554E+13,1.33382E+12,2.53998E+13,1.40145E+12
North America,2017,7.89801E+13,4.0948E+13,3.06338E+11,1.15066E+14,7.40767E+13,4.07444E+12,1.14358E+14,4.14899E+14,3.43875E+14,4.77471E+14,9.19066E+13,2.19275E+14,6.20241E+12,2.05376E+13,1.61944E+12,2.69761E+13,3.19122E+12
Europe,2017,3.59532E+13,2.54084E+12,23576287854,3.21572E+13,6.33562E+13,2.98469E+11,1.73587E+13,1.11658E+14,1.44527E+14,1.96229E+14,2.72858E+13,2.94638E+14,3.3864E+12,1.77185E+13,5.40498E+11,7.33291E+12,2.19548E+11
Africa,2017,7.79272E+11,2.20144E+14,4192857571,3.20409E+13,2.58188E+13,1.67816E+13,1.0074E+14,2.2199E+14,6.82736E+14,1.07342E+15,5.40991E+13,1.4127E+14,6.15289E+12,6.30969E+13,3793303182,1.60674E+13,2.61109E+11
Australia,2017,7.18521E+12,3.30957E+13,199574793,8.92452E+11,3.98854E+12,1.99813E+13,1.71096E+14,4.37082E+13,1.15935E+14,2.71346E+14,9.3578E+12,4.40383E+13,9.75028E+11,7.58303E+11,18097798000,3.06927E+12,46428943794
E Asia,2017,1.46273E+13,3.78835E+14,7.46981E+11,7.87169E+13,7.28162E+13,6.10637E+11,6.54418E+11,4.55664E+14,3.13593E+14,3.16297E+14,6.4672E+13,2.62551E+14,2.8058E+13,9.76924E+13,3.50202E+11,3.18352E+13,1.21064E+12
N Asia,2017,1.90844E+13,0,2.29938E+13,2.27526E+13,5.61977E+13,3.35144E+12,1.04779E+14,1.58424E+14,2.61862E+14,2.34012E+14,8.59969E+13,2.54558E+13,3.24706E+11,1.96001E+12,5.18951E+11,2.11633E+13,3.34367E+12
S Asia,2017,1.29828E+13,3.18114E+13,1378825431,1.09241E+13,3.39866E+13,47923774332,2.70834E+13,4.98162E+13,5.34378E+13,9.53039E+13,1.03423E+13,2.5264E+14,1.64659E+12,2.25432E+13,2.18316E+11,2.46422E+13,6.20766E+11
SE Asia,2017,4.53265E+12,3.24608E+14,7784767142,2.09834E+13,2.4015E+13,2.85717E+11,71264147045,3.29339E+14,1.44312E+14,8.96995E+13,5.64797E+13,1.34968E+14,4.20904E+12,5.81649E+13,3806261641,5.09878E+11,8.29427E+11
SW Asia,2017,1.8124E+12,38000914488,275696782,6.53217E+12,3.08081E+12,71259191432,3.385E+13,9.26502E+12,1.48468E+13,1.40992E+14,1.23434E+12,4.28774E+13,1.05163E+12,1.03762E+12,41792741136,1.91703E+13,1.08972E+11
Central Asia,2017,21413641168,128929291.6,5564866367,61826082304,7.71655E+11,73132994674,5.31705E+12,8.36175E+11,6.27871E+11,1.39541E+14,1.19726E+12,1.66399E+13,1.62847E+11,13403084218,3.68074E+11,1.57703E+13,2.15528E+11
Central America,2017,48457076203,2.77048E+13,239128626.3,1.02411E+12,4.87491E+11,91560211994,2172782156,7.55328E+13,5.2959E+13,1.12416E+13,5.14612E+12,3.95612E+12,4.03751E+11,3.14289E+12,0,16661089664,1665940466
South America,2017,7.93762E+12,6.81139E+14,2430862974,5.32555E+13,1.00773E+13,9.06772E+12,7.27838E+13,2.57371E+14,7.49223E+14,8.39447E+14,9.57665E+13,1.85602E+14,1.59538E+12,4.3031E+13,1.1625E+12,2.61901E+13,1.47965E+12
North America,2016,1.02746E+14,5.59725E+13,3.71367E+11,1.53876E+14,9.0201E+13,6.30404E+12,1.4243E+14,5.52515E+14,4.17621E+14,6.4348E+14,1.0683E+14,3.18013E+14,7.69369E+12,2.5494E+13,1.88116E+12,3.22909E+13,4.11398E+12
Europe,2016,4.48369E+13,3.07977E+12,44862551572,3.85569E+13,7.15858E+13,3.2195E+11,2.09366E+13,1.47307E+14,1.85478E+14,2.25328E+14,3.50173E+13,3.43666E+14,3.92606E+12,2.2511E+13,4.00613E+11,8.0771E+12,2.50697E+11
Africa,2016,8.22919E+11,2.81196E+14,3316524747,3.90223E+13,3.25272E+13,1.63181E+13,9.39701E+13,2.57956E+14,7.41599E+14,1.08879E+15,5.41402E+13,1.57909E+14,6.08515E+12,6.64818E+13,1413437299,1.52106E+13,2.94259E+11
Australia,2016,8.33237E+12,3.90902E+13,245208166.3,1.04251E+12,5.30491E+12,2.25798E+13,1.8527E+14,5.07234E+13,1.40363E+14,2.70701E+14,1.06837E+13,5.36376E+13,1.08827E+12,8.51672E+11,10604717631,3.38823E+12,33961731291
E Asia,2016,1.39736E+13,4.33927E+14,8.52869E+11,7.92506E+13,7.7056E+13,8.59818E+11,6.93321E+11,5.16273E+14,3.37244E+14,3.4017E+14,7.37057E+13,2.694E+14,3.01771E+13,1.08262E+14,2.97232E+11,3.34636E+13,1.16756E+12
