Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
North America,2018,7.92088E+14,3.17672E+14,2.97512E+12,8.62256E+14,7.56588E+14,1.27335E+13,4.75918E+14,2.01949E+15,1.1049E+15,1.14628E+15,4.44919E+13,1.09373E+15,1.13663E+13,1.29072E+14,4.61861E+11,9.05157E+12,5.93933E+12
Europe,2018,4.52977E+14,2.53401E+13,1.13525E+11,3.52106E+14,1.12384E+15,9.76657E+11,7.14559E+13,9.33814E+14,7.9223E+14,6.63187E+14,2.02828E+13,1.61886E+15,6.47567E+12,2.12389E+14,1.04025E+11,9.9281E+11,97786469045
Africa,2018,5.23937E+12,3.31866E+15,2479104412,3.81777E+14,3.33029E+14,1.02686E+14,4.06975E+14,1.49811E+15,4.32348E+15,3.54626E+15,1.04312E+13,6.63263E+14,6.8043E+12,2.04079E+14,759616518.5,9.91323E+12,1.30893E+11
Australia,2018,7.2278E+13,4.17527E+14,731918886.5,1.79164E+12,7.8594E+12,1.06199E+14,6.23387E+14,1.52683E+14,4.31249E+14,8.56083E+14,3.09824E+12,1.54612E+14,1.03667E+12,1.5584E+12,104242882.1,2.18787E+12,6865865046
E Asia,2018,9.97687E+13,3.30616E+15,8.47762E+12,5.28873E+14,4.78978E+14,2.16427E+12,9.44545E+11,1.6688E+15,9.53759E+14,9.23981E+14,2.58785E+13,1.01788E+15,3.74061E+13,3.27527E+14,1.37265E+11,1.37277E+13,4.27068E+11
N Asia,2018,2.33836E+14,0,2.29945E+14,2.17531E+14,8.98169E+14,1.28196E+13,7.59596E+14,1.20663E+15,9.3921E+14,6.12526E+14,2.26309E+13,1.27008E+14,4.04468E+11,2.62493E+13,1.8409E+11,8.35931E+12,5.50237E+12
S Asia,2018,3.04552E+13,2.10214E+14,1119461489,5.02522E+13,8.42564E+13,61827352038,1.03995E+13,1.92696E+14,1.51141E+14,1.58987E+14,2.5076E+12,7.22774E+14,1.78646E+12,6.35347E+13,90967343383,9.77151E+12,45119998427
SE Asia,2018,6.99663E+12,2.9538E+15,5979877359,7.77316E+13,1.01904E+14,5.11983E+11,59177126710,9.16689E+14,3.43808E+14,1.72662E+14,1.92935E+13,3.44129E+14,4.95804E+12,1.34256E+14,6129897806,1.59261E+11,3.69954E+11
SW Asia,2018,2.05228E+13,5.04357E+11,1704350227,5.32229E+13,1.82224E+13,2.18412E+11,3.64896E+13,6.60191E+13,6.61334E+13,3.38869E+14,2.35458E+12,2.03951E+14,1.17028E+12,8.29304E+12,5762327504,1.26607E+13,22248128176
Central Asia,2018,8.42469E+11,4810793.181,75343456968,8.42196E+11,6.12344E+12,3.39576E+11,7.64903E+12,6.10801E+12,6.8324E+12,5.86793E+14,1.28895E+12,7.25781E+13,3.00234E+11,4.55603E+11,90739869322,8.35722E+12,23399725256
Central America,2018,32982844390,2.48703E+14,195545089.7,6.46228E+12,2.0249E+12,2.38494E+11,3875894897,2.43867E+14,1.36626E+14,2.64642E+13,1.80535E+12,1.0218E+13,3.61326E+11,7.1091E+12,0,4839112055,727154950.8
South America,2018,3.67051E+13,9.39748E+15,2912750217,3.7898E+14,5.56971E+13,4.08962E+13,2.09368E+14,1.20816E+15,3.88017E+15,2.98598E+15,2.59449E+13,6.49872E+14,1.67613E+12,1.499E+14,59397931784,2.26951E+13,3.16584E+11
North America,2017,7.85537E+14,3.07556E+14,3.93453E+12,9.13461E+14,7.80502E+14,1.2394E+13,5.42482E+14,2.12218E+15,1.22262E+15,1.24774E+15,4.86425E+13,1.19078E+15,1.18707E+13,1.46852E+14,4.11681E+11,9.80323E+12,6.17153E+12
Europe,2017,3.78537E+14,2.65828E+13,1.12119E+11,3.12798E+14,9.58041E+14,9.3566E+11,5.78756E+13,7.56888E+14,6.90716E+14,6.12472E+14,1.78585E+13,1.50434E+15,5.82456E+12,1.85904E+14,85171498451,9.33191E+11,91448377802
Africa,2017,4.48666E+12,3.02929E+15,1595819415,3.75998E+14,3.18557E+14,1.04836E+14,4.46984E+14,1.3815E+15,4.0465E+15,3.50804E+15,9.60707E+12,5.79398E+14,6.52462E+12,1.93526E+14,852761708.9,8.59418E+12,56462443587
Australia,2017,7.86179E+13,4.33014E+14,1201726782,2.06527E+12,9.57137E+12,1.16297E+14,7.7929E+14,1.59121E+14,4.91601E+14,9.66851E+14,3.20838E+12,1.92171E+14,1.04393E+12,1.69946E+12,518653266.8,1.66298E+12,9334254525
E Asia,2017,9.88876E+13,3.05432E+15,8.20403E+12,5.00888E+14,4.75648E+14,1.81702E+12,9.65697E+11,1.57646E+15,9.34232E+14,8.44477E+14,2.27439E+13,9.58421E+14,3.36547E+13,3.05926E+14,69194236748,1.36395E+13,3.87285E+11
N Asia,2017,2.0814E+14,0,1.84252E+14,2.06357E+14,8.00163E+14,1.0946E+13,6.41452E+14,1.06414E+15,8.20915E+14,5.37204E+14,1.86381E+13,1.17132E+14,3.82261E+11,2.44714E+13,1.14575E+11,7.57882E+12,4.74694E+12
S Asia,2017,3.01778E+13,2.09378E+14,1003668238,6.09386E+13,8.82026E+13,77241724792,1.01949E+13,1.82148E+14,1.43269E+14,1.60302E+14,2.33148E+12,7.55563E+14,1.65805E+12,5.84187E+13,63210825098,9.47073E+12,66289687138
SE Asia,2017,7.55587E+12,2.72061E+15,7690278186,8.09979E+13,1.11932E+14,5.6627E+11,69164733994,8.5659E+14,3.32134E+14,1.63587E+14,1.66121E+13,3.4431E+14,4.58722E+12,1.25256E+14,755139690.8,1.46105E+11,3.29344E+11
SW Asia,2017,1.81169E+13,3.92101E+11,920728067.3,4.72872E+13,1.65854E+13,1.59467E+11,3.33425E+13,6.113E+13,6.08347E+13,2.94187E+14,2.21231E+12,1.73442E+14,1.07077E+12,7.34167E+12,11706750104,1.25413E+13,22321006816
Central Asia,2017,7.40508E+11,5610658.516,60028212349,9.23487E+11,5.88891E+12,2.87948E+11,7.62651E+12,6.41569E+12,6.15246E+12,5.80576E+14,1.02755E+12,7.52845E+13,2.77634E+11,4.93518E+11,91632090874,8.4096E+12,26508422111
Central America,2017,32505732778,2.43285E+14,195022965.6,7.29475E+12,2.22477E+12,1.64959E+11,3430848654,2.30466E+14,1.32564E+14,2.26803E+13,1.70467E+12,1.00219E+13,3.29668E+11,7.02752E+12,0,4381257069,880824738.9
South America,2017,3.59212E+13,8.95031E+15,1771881560,3.18263E+14,5.42994E+13,4.25322E+13,2.20277E+14,1.06715E+15,3.47983E+15,2.80268E+15,2.52462E+13,6.41865E+14,1.62E+12,1.40714E+14,53028675742,2.39357E+13,3.42305E+11
North America,2016,1.05186E+15,3.92135E+14,4.90592E+12,1.10629E+15,9.50579E+14,1.86674E+13,6.6976E+14,2.66108E+15,1.44751E+15,1.61219E+15,5.79017E+13,1.55775E+15,1.48687E+13,1.82149E+14,4.29252E+11,1.29008E+13,8.15812E+12
Europe,2016,5.21787E+14,3.20453E+13,1.81862E+11,4.01462E+14,1.24435E+15,1.05352E+12,7.28788E+13,9.76923E+14,8.26976E+14,7.32306E+14,2.2191E+13,1.82117E+15,6.64449E+12,2.23167E+14,62003012514,9.43882E+11,1.09065E+11
Africa,2016,5.36745E+12,3.4067E+15,1716597640,3.45128E+14,3.12073E+14,7.7855E+13,3.31803E+14,1.44548E+15,3.68112E+15,2.92234E+15,1.01604E+13,5.02911E+14,6.44461E+12,1.88715E+14,397215357.2,7.49011E+12,94823106351
Australia,2016,8.84866E+13,4.94254E+14,3275352720,2.56874E+12,1.23555E+13,1.1518E+14,6.61541E+14,1.70204E+14,5.90977E+14,9.44485E+14,3.40796E+12,2.63013E+14,1.15295E+12,1.99396E+12,133986715.8,2.01891E+12,8277033259
