Continents/regions,year,mod_land1,mod_land2,mod_land3,mod_land4,mod_land5,mod_land6,mod_land7,mod_land8,mod_land9,mod_land10,mod_land12,mod_land14,
North America,2018,1.15E+12,2.14E+11,5386793601,9.16E+11,9.54E+11,26346152022,2.27E+12,3.24E+12,2.66E+12,5.30E+12,1.96E+12,1.65E+11,
Europe,2018,6.21E+11,20784858396,266331311,3.62E+11,1.48E+12,1785388204,2.41E+11,1.28E+12,1.14E+12,1.38E+12,2.46E+12,2.51E+11,
Africa,2018,3945611674,2.21E+12,5312857.28,3.26E+11,2.61E+11,1.56E+11,1.80E+12,1.14E+12,4.27E+12,7.73E+12,1.32E+12,2.84E+11,
Australia,2018,38146669550,2.03E+11,393388.4531,1458359440,5776681967,3.36E+11,4.15E+12,1.45E+11,5.15E+11,1.84E+12,2.57E+11,1028974289,
E Asia,2018,1.04E+11,2.35E+12,11118615837,5.93E+11,4.99E+11,3534241069,12018837051,1.74E+12,1.12E+12,3.03E+12,1.78E+12,4.13E+11,
N Asia,2018,3.69E+11,0,4.10E+11,2.98E+11,1.33E+12,37668491377,3.11E+12,2.22E+12,2.46E+12,2.76E+12,2.65E+11,48387617359,
S Asia,2018,35579277759,1.50E+11,1544084.813,80740014882,1.12E+11,171951629.9,2.89E+11,1.87E+11,2.41E+11,6.53E+11,2.19E+12,97271598808,
SE Asia,2018,8190890374,2.07E+12,12677234.46,70145769288,82796654009,575066907.4,130938927.2,8.24E+11,3.53E+11,2.04E+11,4.90E+11,1.46E+11,
SW Asia,2018,20160962950,409402509,2170382.606,46848801703,17511699656,266589589.5,3.72E+11,61416947209,78140058175,9.16E+11,4.22E+11,7710862727,
Central Asia,2018,1425509704,3551742.264,144688181.7,1265264538,8411480603,532910011.8,1.47E+11,9355916036,12667017513,2.78E+12,2.16E+11,857307746.9,
Central America,2018,48855575.7,1.51E+11,905323.4474,4742399249,1136171731,207794275.5,3356998.797,1.73E+11,1.25E+11,24184461239,10268654165,6523143231,
